Test1: Tree creation (10.1.1.100,224.12.12.12)
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,780                                              R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,871                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,054                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 21:40:17,095                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:17,095                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:17,095                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:17,095                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:17,095                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:17,095                                              R4 python3 Run.py -ai eth1
