Test1: Formation of (S,G) Broadcast Tree
Having Client0 and Client1 interested
About to start TCP server...
tests                                              DEBUG    2020-06-17 17:27:55,531                                              R7 python3 Run.py -aiigmp eth1
pim.KernelInterface                                DEBUG    2020-06-17 17:27:55,541                                              R6 Create virtual interface: eth1 -> 1
tests                                              DEBUG    2020-06-17 17:27:55,567                                              R2 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,567                                              R2 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,567                                              R2 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,625                                              R6 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,625                                              R6 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,625                                              R6 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-17 17:27:55,805                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,805                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,805                                              R1 python3 Run.py -ai eth2
pim.KernelInterface                                DEBUG    2020-06-17 17:27:55,905                                              R2 Create virtual interface: eth2 -> 2
tests                                              DEBUG    2020-06-17 17:27:55,958                                              R7 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,958                                              R7 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,958                                              R7 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-17 17:27:55,965                                              R2 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-17 17:27:55,965                                              R2 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-17 17:27:55,965                                              R2 python3 Run.py -aiigmp eth2
pim.KernelInterface                                DEBUG    2020-06-17 17:27:56,134                                              R1 Create virtual interface: eth2 -> 2
tests                                              DEBUG    2020-06-17 17:27:56,172                                              R1 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-17 17:27:56,172                                              R1 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-17 17:27:56,172                                              R1 python3 Run.py -aiigmp eth2
pim.KernelInterface                                DEBUG    2020-06-17 17:27:56,256                                              R7 Create virtual interface: eth2 -> 2
tests                                              DEBUG    2020-06-17 17:27:56,298                                              R7 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-17 17:27:56,298                                              R7 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-17 17:27:56,298                                              R7 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-17 17:27:56,463                                              R1 python3 Run.py -ai eth3
tests                                              DEBUG    2020-06-17 17:27:56,463                                              R1 python3 Run.py -ai eth3
tests                                              DEBUG    2020-06-17 17:27:56,463                                              R1 python3 Run.py -ai eth3
pim.KernelInterface                                DEBUG    2020-06-17 17:27:56,663                                              R1 Create virtual interface: eth3 -> 3
tests                                              DEBUG    2020-06-17 17:27:56,693                                              R1 python3 Run.py -aiigmp eth3
tests                                              DEBUG    2020-06-17 17:27:56,693                                              R1 python3 Run.py -aiigmp eth3
tests                                              DEBUG    2020-06-17 17:27:56,693                                              R1 python3 Run.py -aiigmp eth3
tests                                              DEBUG    2020-06-17 17:28:00,889                                              SOURCE python3 server.py -i eth0 -a
tests                                              DEBUG    2020-06-17 17:28:00,889                                              SOURCE python3 server.py -i eth0 -a
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:02,062 (10.1.1.100,224.12.12.12)           0  eth0  R1 Upstream state transitions to Forwarding
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:02,062 (10.1.1.100,224.12.12.12)           0  eth0  R1 sourceIsNowDirectConnect, F -> F
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:02,677 (10.1.1.100,224.12.12.12)           1  eth1  R1 Downstream state transitions to NoInfo
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:02,679 (10.1.1.100,224.12.12.12)           2  eth2  R1 Downstream state transitions to NoInfo
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:02,681 (10.1.1.100,224.12.12.12)           3  eth3  R1 Downstream state transitions to NoInfo
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:02,795 (10.1.1.100,224.12.12.12)           0  eth0  R3 Upstream state transitions to Forwarding
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:02,806 (10.1.1.100,224.12.12.12)           0  eth0  R2 Upstream state transitions to Forwarding
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:03,064 (10.1.1.100,224.12.12.12)           0  eth0  R4 Upstream state transitions to Forwarding
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,361 (10.1.1.100,224.12.12.12)           1  eth1  R3 Downstream state transitions to NoInfo
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:03,436 (10.1.1.100,224.12.12.12)           0  eth0  R6 Upstream state transitions to Forwarding
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:03,437 (10.1.1.100,224.12.12.12)           0  eth0  R5 Upstream state transitions to Forwarding
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,454 (10.1.1.100,224.12.12.12)           1  eth1  R2 Downstream state transitions to NoInfo
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,454 (10.1.1.100,224.12.12.12)           2  eth2  R2 Downstream state transitions to NoInfo
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,472 (10.1.1.100,224.12.12.12)           1  eth1  R3 receivedPrune, NI -> PP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,472 (10.1.1.100,224.12.12.12)           1  eth1  R3 Downstream state transitions to PrunePending
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:03,533 (10.1.1.100,224.12.12.12)           0  eth0  R7 Upstream state transitions to Forwarding
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,629 (10.1.1.100,224.12.12.12)           1  eth1  R4 Downstream state transitions to NoInfo
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:03,696 (10.1.1.100,224.12.12.12)           0  eth0  R3 olistIsNowNull, F -> P
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:03,697 (10.1.1.100,224.12.12.12)           0  eth0  R3 Upstream state transitions to Pruned
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,707 (10.1.1.100,224.12.12.12)           2  eth2  R1 receivedPrune, NI -> PP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,708 (10.1.1.100,224.12.12.12)           2  eth2  R1 Downstream state transitions to PrunePending
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,709 (10.1.1.100,224.12.12.12)           1  eth1  R4 receivedPrune, NI -> PP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,710 (10.1.1.100,224.12.12.12)           1  eth1  R4 Downstream state transitions to PrunePending
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,715 (10.1.1.100,224.12.12.12)           1  eth1  R4 receivedPrune, PP -> PP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,718 (10.1.1.100,224.12.12.12)           2  eth2  R1 PPTexpires, PP -> P
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,719 (10.1.1.100,224.12.12.12)           2  eth2  R1 Downstream state transitions to Pruned
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:03,977 (10.1.1.100,224.12.12.12)           1  eth1  R5 Downstream state transitions to NoInfo
